Date,Year,Quarter,Date2,Trade Balance,Trade Balance (% Ch),NX Results
2009-01-01,2009,1,2009 Q1,,,
2009-04-01,2009,2,2009 Q2,-27821,,
2009-07-01,2009,3,2009 Q3,-33409,20.09%,
2009-10-01,2009,4,2009 Q4,-37589,12.51%,-0.06%
2010-01-01,2010,1,2010 Q1,-39840,5.99%,0.17%
2010-04-01,2010,2,2010 Q2,-43633,9.52%,-0.73%
2010-07-01,2010,3,2010 Q3,-43854,0.50%,-1.09%
2010-10-01,2010,4,2010 Q4,-40369,-7.95%,-0.21%
2011-01-01,2011,1,2011 Q1,-45729,13.28%,-0.45%
2011-04-01,2011,2,2011 Q2,-46764,2.26%,0.90%
2011-07-01,2011,3,2011 Q3,-44866,-4.06%,1.09%
2011-10-01,2011,4,2011 Q4,-47481,5.83%,-0.75%
2012-01-01,2012,1,2012 Q1,-47552,0.15%,-0.06%
2012-04-01,2012,2,2012 Q2,-44963,-5.44%,0.75%
2012-07-01,2012,3,2012 Q3,-41743,-7.16%,0.41%
2012-10-01,2012,4,2012 Q4,-41044,-1.67%,-0.45%
2013-01-01,2013,1,2013 Q1,-38484,-6.24%,0.99%
2013-04-01,2013,2,2013 Q2,-38205,-0.73%,-0.09%
2013-07-01,2013,3,2013 Q3,-37630,-1.50%,-0.44%
2013-10-01,2013,4,2013 Q4,-34635,-7.96%,0.44%
2014-01-01,2014,1,2014 Q1,-40164,15.96%,-0.73%
2014-04-01,2014,2,2014 Q2,-40735,1.42%,-0.32%
2014-07-01,2014,3,2014 Q3,-39181,-3.82%,0.06%
2014-10-01,2014,4,2014 Q4,-41238,5.25%,-0.56%
2015-01-01,2015,1,2015 Q1,-40500,-1.79%,-0.73%
2015-04-01,2015,2,2015 Q2,-40254,-0.61%,-1.45%
2015-07-01,2015,3,2015 Q3,-42062,4.49%,-0.73%
2015-10-01,2015,4,2015 Q4,-40776,-3.06%,-0.29%
2016-01-01,2016,1,2016 Q1,-40050,-1.78%,-0.35%
2016-04-01,2016,2,2016 Q2,-39600,-1.13%,-0.13%
2016-07-01,2016,3,2016 Q3,-39027,-1.45%,0.30%
2016-10-01,2016,4,2016 Q4,-41142,5.42%,-0.15%
2017-01-01,2017,1,2017 Q1,-41488,0.84%,-0.85%
2017-04-01,2017,2,2017 Q2,-43597,5.08%,-0.05%
2017-07-01,2017,3,2017 Q3,-42279,-3.02%,0.19%
2017-10-01,2017,4,2017 Q4,-44949,6.31%,-0.62%
2018-01-01,2018,1,2018 Q1,-46458,3.36%,-0.18%
2018-04-01,2018,2,2018 Q2,-44120,-5.03%,0.66%
2018-07-01,2018,3,2018 Q3,-49931,13.17%,-1.16%
2018-10-01,2018,4,2018 Q4,-52355,4.85%,-0.88%
2019-01-01,2019,1,2019 Q1,-48209,-7.92%,0.48%
2019-04-01,2019,2,2019 Q2,-49668,3.03%,-0.33%
2019-07-01,2019,3,2019 Q3,-47237,-4.89%,0.00%
2019-10-01,2019,4,2019 Q4,-41351,-12.46%,0.83%
2020-01-01,2020,1,2020 Q1,-42793,3.49%,0.22%
2020-04-01,2020,2,2020 Q2,-52483,22.65%,-1.32%
2020-07-01,2020,3,2020 Q3,-60021,14.36%,1.42%
2020-10-01,2020,4,2020 Q4,-62600,4.30%,-1.78%
2021-01-01,2021,1,2021 Q1,-65094,3.98%,-1.38%
2021-04-01,2021,2,2021 Q2,-68213,4.79%,-1.22%
2021-07-01,2021,3,2021 Q3,-73420,7.63%,-1.05%
2021-10-01,2021,4,2021 Q4,-75962,3.46%,-0.81%
2022-01-01,2022,1,2022 Q1,-91516,20.48%,-1.48%
2022-04-01,2022,2,2022 Q2,-83615,-8.63%,-0.29%
2022-07-01,2022,3,2022 Q3,-70260,-15.97%,1.02%
2022-10-01,2022,4,2022 Q4,-69530,-1.04%,1.39%
2023-01-01,2023,1,2023 Q1,-66934,-3.73%,0.74%
2023-04-01,2023,2,2023 Q2,-67876,1.41%,-0.06%
2023-07-01,2023,3,2023 Q3,-62153,-8.43%,0.59%
2023-10-01,2023,4,2023 Q4,-64667,4.04%,-1.03%
2024-01-01,2024,1,2024 Q1,-67747,4.76%,0.02%
2024-04-01,2024,2,2024 Q2,-74408,9.83%,-1.00%
2024-07-01,2024,3,2024 Q3,-77777,4.53%,-0.53%
2024-10-01,2024,4,2024 Q4,-83487,7.34%,-0.79%
2025-01-01,2025,1,2025 Q1,-131514,57.53%,-3.43%
2025-04-01,2025,2,2025 Q2,-64437,-51.00%,3.30%
2025-07-01,2025,3,2025 Q3,-63563,-1.36%,1.34%
2025-10-01,2025,4,2025 Q4,-51383,-17.81%,2.05%
2026-01-01,2026,1,2026 Q1,-64818,42.23%,-0.23%
