Prediction Year-Quarter,Date,Year,Day of the Week,Month,Core GDP,Core GDP Updated,Net Exports,Private Inventories,GDP,
2025 Q1,3/2/2025,2025,Sunday,March,3.39,,-3.38,0.40,0.41,
2025 Q1,3/9/2025,2025,Sunday,March,3.39,,-3.56,0.40,0.24,
2025 Q1,3/16/2025,2025,Sunday,March,3.39,,-3.56,0.40,0.24,
2025 Q1,3/23/2025,2025,Sunday,March,3.42,,-3.56,0.70,0.56,
2025 Q1,3/30/2025,2025,Sunday,March,3.45,,-3.56,0.40,0.29,
2025 Q1,4/6/2025,2025,Sunday,April,3.38,,-3.17,0.30,0.51,
2025 Q1,4/13/2025,2025,Sunday,April,3.45,,-3.17,0.30,0.58,
2025 Q2,4/13/2025,2025,Sunday,April,3.11,,1.92,-0.50,4.53,
2025 Q2,4/20/2025,2025,Sunday,April,3.11,,1.92,-0.50,4.53,
2025 Q2,4/27/2025,2025,Sunday,April,3.11,,1.92,-0.50,4.53,
2025 Q2,5/4/2025,2025,Sunday,May,3.33,,1.92,-0.50,4.75,
2025 Q2,5/11/2025,2025,Sunday,May,3.33,,1.92,-0.50,4.75,
2025 Q2,5/18/2025,2025,Sunday,May,3.33,,1.92,-0.50,4.75,
2025 Q2,5/25/2025,2025,Sunday,May,3.33,,1.92,-0.50,4.75,
2025 Q2,6/1/2025,2025,Sunday,June,3.33,,3.30,-0.70,5.93,
2025 Q2,6/8/2025,2025,Sunday,June,3.33,,3.34,-1.20,5.47,
2025 Q2,6/15/2025,2025,Sunday,June,3.33,,3.34,-1.20,5.47,
2025 Q2,6/22/2025,2025,Sunday,June,3.32,,3.34,-1.20,5.46,
2025 Q2,6/29/2025,2025,Sunday,June,3.32,,3.84,-2.30,4.86,
2025 Q2,7/6/2025,2025,Sunday,July,3.46,,3.87,-2.30,5.03,
2025 Q2,7/13/2025,2025,Sunday,July,3.46,,3.67,-2.81,4.32,
2025 Q2,7/20/2025,2025,Sunday,July,3.61,,3.67,-2.81,4.47,
2025 Q2,7/27/2025,2025,Sunday,July,3.61,,3.67,-2.81,4.47,
2025 Q2,8/3/2025,2025,Sunday,August,3.41,,3.67,-2.81,4.27,
2025 Q3,8/3/2025,2025,Sunday,August,3.30,,0.73,-1.53,2.50,
2025 Q3,8/10/2025,2025,Sunday,August,3.30,,0.61,-1.53,2.38,
2025 Q3,8/17/2025,2025,Sunday,August,3.30,,0.61,-1.53,2.38,
2025 Q3,8/24/2025,2025,Sunday,August,3.30,,0.61,-1.53,2.38,
2025 Q3,8/31/2025,2025,Sunday,August,3.30,,-0.49,-0.80,2.01,
2025 Q3,9/7/2025,2025,Sunday,September,3.30,,-0.33,-0.80,2.17,
2025 Q3,9/14/2025,2025,Sunday,September,3.30,,-0.33,-0.80,2.17,
2025 Q3,9/21/2025,2025,Sunday,September,3.30,,-0.33,-0.80,2.17,
2025 Q3,9/28/2025,2025,Sunday,September,3.16,,-0.33,-0.80,2.03,
2025 Q3,10/5/2025,2025,Sunday,October,3.18,,-0.33,-0.52,2.33,
2025 Q3,10/12/2025,2025,Sunday,October,3.18,,-0.33,-0.52,2.33,
2025 Q3,10/19/2025,2025,Sunday,October,3.22,,-0.33,-0.52,2.37,
2025 Q4,10/26/2025,2025,Sunday,October,3.25,,-0.33,-0.18,2.74,
2025 Q4,11/2/2025,2025,Sunday,November,3.25,,-0.33,-0.18,2.74,
2025 Q4,11/9/2025,2025,Sunday,November,3.25,,-0.33,-0.18,2.74,
2025 Q4,11/16/2025,2025,Sunday,November,3.25,,-0.33,-0.18,2.74,
2025 Q4,11/23/2025,2025,Sunday,November,3.25,,1.29,0.36,4.90,
2025 Q4,11/30/2025,2025,Sunday,November,3.25,,1.29,0.36,4.90,
2025 Q4,12/7/2025,2025,Sunday,December,3.25,,1.29,0.36,4.90,
2025 Q4,12/14/2025,2025,Sunday,December,3.21,,0.14,0.36,3.71,
2025 Q4,12/21/2025,2025,Sunday,December,3.30,,0.14,0.36,3.80,
2025 Q4,12/28/2025,2025,Sunday,December,3.26,,0.14,0.36,3.76,
2025 Q4,1/4/2026,2026,Sunday,January,3.28,,0.14,0.76,4.18,
2025 Q4,1/11/2026,2026,Sunday,January,3.24,,1.93,0.75,5.92,
2025 Q4,1/18/2026,2026,Sunday,January,3.10,,1.93,0.77,5.80,
2025 Q4,1/25/2026,2026,Sunday,January,3.32,,1.93,0.77,6.02,
2025 Q4,2/1/2026,2026,Sunday,February,3.26,2.35,2.05,0.77,5.17,
2026 Q1,2/8/2026,2026,Sunday,February,2.81,2.62,-1.73,0.28,1.17,
2026 Q1,2/15/2026,2026,Sunday,February,2.93,2.62,-1.73,0.18,1.07,
2026 Q1,2/22/2026,2026,Sunday,February,2.78,2.59,-1.11,0.18,1.66,
2026 Q1,3/1/2026,2026,Sunday,March,3.10,2.74,-0.61,-0.15,1.98,
2026 Q1,3/8/2026,2026,Sunday,March,2.90,2.66,-0.61,-0.22,1.83,
2026 Q1,3/15/2026,2026,Sunday,March,3.07,2.67,-0.23,-0.22,2.22,
2026 Q1,3/22/2026,2026,Sunday,March,3.07,2.65,-0.23,-0.22,2.20,
2026 Q1,3/29/2026,2026,Sunday,March,3.07,2.65,-0.23,-0.22,2.20,
