Date,Year,Quarter,Date 2,BEA Actual,Atlas Predictions,,,
2022-01-01,2022,1,2022 Q1,0.8%,2.8%,,,
2022-04-01,2022,2,2022 Q2,2.3%,1.2%,,,
2022-07-01,2022,3,2022 Q3,1.1%,2.6%,,,
2022-10-01,2022,4,2022 Q4,1.1%,2.6%,,,
2023-01-01,2023,1,2023 Q1,4.5%,3.0%,,,
2023-04-01,2023,2,2023 Q2,3.2%,2.9%,,,
2023-07-01,2023,3,2023 Q3,3.6%,3.0%,,,
2023-10-01,2023,4,2023 Q4,3.6%,3.6%,,,
2024-01-01,2024,1,2024 Q1,2.1%,2.5%,,,
2024-04-01,2024,2,2024 Q2,3.5%,3.6%,,,
2024-07-01,2024,3,2024 Q3,3.9%,3.5%,,,
2024-10-01,2024,4,2024 Q4,2.8%,3.4%,,,
2025-01-01,2025,1,2025 Q1,1.5%,3.4%,,,
2025-04-01,2025,2,2025 Q2,2.4%,3.4%,,,
2025-07-01,2025,3,2025 Q3,3.0%,3.3%,0.03,,
2025-10-01,2025,4,2025 Q4,,3.1%,3.1%,,
2026-04-01,2026,1,2026 Q1,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
