Date,Year,Quarter,Date 2,BEA Actual,Atlas Predictions,,,
2022-01-01,2022,1,2022 Q1,3.0%,3.0%,,,
2022-04-01,2022,2,2022 Q2,9.3%,7.4%,,,
2022-07-01,2022,3,2022 Q3,1.5%,3.5%,,,
2022-10-01,2022,4,2022 Q4,2.4%,1.3%,,,
2023-01-01,2023,1,2023 Q1,3.5%,1.5%,,,
2023-04-01,2023,2,2023 Q2,2.6%,1.6%,,,
2023-07-01,2023,3,2023 Q3,5.5%,2.9%,,,
2023-10-01,2023,4,2023 Q4,3.2%,2.6%,,,
2024-01-01,2024,1,2024 Q1,2.9%,3.4%,,,
2024-04-01,2024,2,2024 Q2,1.6%,2.8%,,,
2024-07-01,2024,3,2024 Q3,3.4%,3.9%,,,
2024-10-01,2024,4,2024 Q4,3.1%,3.1%,,,
2025-01-01,2025,1,2025 Q1,-2.2%,3.0%,,,
2025-04-01,2025,2,2025 Q2,3.5%,3.8%,,,
2025-07-01,2025,3,2025 Q3,4.1%,3.6%,3.61%,,
2025-10-01,2025,4,2025 Q4,,3.7%,3.73%,,
2026-04-01,2026,1,2026 Q1,,,3.73%,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
